구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
7196,2017-01-01,2020-12-31,"중학교,유치원,고등학교,초등학교",전남  만호성지 체험,기타,전남 강진군 마량면 마량리988-5
7197,2017-01-01,2020-12-31,"고등학교,초등학교,중학교",전남  백련사를 찾아서,백련사(전남 강진군 도암면 백련사길 145),전남 강진군 도암면 백련사길 145
7198,2017-01-01,2020-12-31,"유치원,초등학교",울산  날씨 좋을 땐 공원에서 공부해요,학성공원,울산 중구 학성공원3길 54 학성공원
7199,2017-01-01,2020-12-31,초등학교,울산  어 어 왜 이러지,서생포왜성,울산 울주군 서생면서생리711
7200,2017-01-01,2020-12-31,"중학교,고등학교,초등학교",울산  바코드의 비밀,농소 3동 도서관 ,울산광역시 북구 아진1로 47
7201,2017-01-01,2020-12-31,"고등학교,초등학교,중학교",울산  울산에서 출발하는 여행가이드북,울산공항,울산 북구 산업로 1103
7202,2017-01-01,2020-12-31,초등학교,울산  국화꽃의 향기 속으로,울산 북구청 주변,울산광역시 북구 산업로 1000
7203,2017-01-01,2020-12-31,"고등학교,초등학교,중학교",울산  한글이 목숨,외솔기념관,울산광역시 중구 병영12길 15
7204,2017-01-01,2020-12-31,"유치원,초등학교",광주  소방학교  이동안전체험교육,기타,광주광역시 광산구 소촌로152번길 53-84
7205,2017-01-01,2020-12-31,"중학교,고등학교,초등학교",광주  월계동 장고분,기타,광주광역시 광산구 월계로 155
7206,2017-01-01,2019-12-31,"고등학교,초등학교,중학교",전남  다도해해상국립공원  자연경관해설(관매도 명품 곰솔숲 속으로),다도해해상국립공원,전라남도 완도군 완도읍 개포로 62번길 17-12
7207,2017-01-01,2018-12-31,"중학교,고등학교,초등학교,교원",서울  시각장애체험프로그램 눈탱이 감탱이,(주) 암흑 Amheuk,서울 서대문구 연세로5길 26
7208,2017-01-01,2018-12-31,초등학교,"제주  제주항공우주박물관  부활호, 다시 날아 오르다.",1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7209,2017-01-01,2018-08-31,초등학교,제주  새처럼 나는 비행기를 만들 수 있을까,1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7210,2017-01-01,2017-12-31,"중학교,고등학교",전남  담양군노인복지타운청소년자원봉사,담양노인복지센터,전라남도 담양군 담양읍 죽향문화로 419-33
7211,2017-01-01,2017-12-31,"교원,유치원,초등학교",광주  도서관 견학하기,서구 어린이생태 학습도서관,광주광역시 서구 풍암동 산 14-50번지
7212,2017-01-01,2017-12-31,초등학교,광주  건짱 학교 만들기(서구보건소),해당학교,광주광역시 서구 경열로 33
7213,2017-01-01,2017-12-31,초등학교,광주  학교 폭력 예방을 위한 범죄예방교실/ 아동성폭력예방을 위한 범죄 예방 교육,광주 광산경찰서,광주광역시 광산구 운수동 60-6
7214,2017-01-01,2017-12-31,"중학교,유치원,고등학교,초등학교",광주  광주광역시 바로 알기,광주광역시청,광주광역시 서구 내방로 111
7215,2017-01-01,2017-12-31,초등학교,경기  나만의 악기 만들기,파주 헤이리 세계민속악기박물관,경기도 파주시 탄현면 헤이리마을길 63-26
7216,2017-01-01,2017-12-31,"중학교,고등학교,초등학교",서울 개인/단체/초중고  IT미션카드,삼성 딜라이트,서울특별시 서초대로 74길 11
7217,2017-01-01,2017-12-31,"중학교,고등학교,초등학교",서울 단체/초중고  IT비전트립,삼성 딜라이트,서울특별시 서초구 서초대로 74길 11
7218,2017-01-01,2017-12-31,중학교,서울 단체/중학생  자유학기제 특화 IT비전스쿨,삼성 딜라이트,서울특별시 서초구 서초대로 74길 11
7219,2017-01-01,2017-12-31,"중학교,유치원,고등학교,초등학교,교원",서울  찾아가는 성교육 아하 해피버스 ting,아하서울시립청소년성문화센터,서울시 영등포구 영신로 200
7220,2017-01-01,2017-12-31,"중학교,고등학교,초등학교",서울  진로직업체험   알고 싶은 법세상,서울북부청소년꿈키움센터 모의법정실,서울특별시 성북구 동소문로 65-3
7221,2017-01-01,2017-12-31,"중학교,고등학교",부산  도시철도 기관사와의 만남,부산교통공사 승무사업소,부산 부산진구 중앙대로 644번길 20
7222,2017-01-01,2017-12-31,"중학교,고등학교,초등학교",부산  기관사 직업과 도시철도 안전이용,부산교통공사,부산 부산진구 중앙대로644번길 20
7223,2017-01-01,2017-12-31,"중학교,고등학교,초등학교",경기  영화체험학습   시네에듀투어,남양주 종합촬영소,경기 남양주시 조안면 북한강로 855번길 138
7224,2017-01-01,2017-12-31,초등학교,경기  모아모아금융교육,증권박물관,경기도 고양시 일산동구 호수로 358-8
7225,2017-01-01,2017-12-31,"초등학교,유치원",경기  아해박물관 전시연계 체험교육 2017,아해한국전통문화어린이박물관,경기도 과천시 추사로 133
7226,2017-01-01,2017-12-31,"고등학교,초등학교,중학교",스포츠클라이밍(인공암벽등반) 체험교육,디스커버리 클라임스퀘어 ICN,마전동 999-4
7227,2017-01-01,2017-12-31,"중학교,유치원,고등학교,초등학교",경북  자연과 어우러진 숲 속 영화예술학교 체험,"안동영화예술학교, 왕모산",경상북도 안동시 도산면 왕모산성길 82
7228,2017-01-01,2017-10-31,"중학교,초등학교","제주  최초의 비행기, 플라이어호의 비밀",제주항공우주박물관 1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7229,2017-01-01,2017-10-31,유치원,제주  태양계 친구들,제주항공우주박물관 1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7230,2017-01-01,2017-10-31,유치원,제주  빙글빙글 나는 씨앗,1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7231,2017-01-01,2017-10-31,초등학교,제주  달  달  무슨 달 조트로프로 알아보는 달의 변화,1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7232,2017-01-01,2017-10-31,초등학교,"제주  조선의 최첨단 해시계, 앙부일구",제주항공우주박물관 1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7233,2017-01-01,2017-10-31,"중학교,초등학교","제주  빛을 꺾어 더 멀리, 굴절망원경",1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7234,2017-01-01,2017-10-31,"중학교,초등학교","제주  우주를 향해, 에어로켓 발사",제주항공우주박물관 1층 창의상상공작소,제주특별자치도 서귀포시 안덕면 녹차분재로 218번지
7235,2016-12-31,2017-10-31,"중학교,고등학교","서울,경기,인천  2017년 1학기 아시아나항공 색동나래교실",신청학교 방문,서울 강서구 오쇠동 47번지
7236,2016-12-27,2017-01-13,교원,전국  사이버폭력예방 교원연수,온라인  중앙교육연수원 사이트(neti) / 오프라인  제주도,서울특별시 중구 청계천로 14
7237,2016-12-27,2017-01-13,"중학교,고등학교,초등학교",전국  한국인터넷드림단 (동아리활동),신청한 학교 교실,서울특별시 중구 청계천로 14
7238,2016-12-27,2017-01-13,"중학교,고등학교,초등학교",전국  사이버폭력 예방교육 (예술체험형 공연교육),신청한 학교 강당,서울특별시 중구 청계천로 14
7239,2016-12-27,2017-01-13,"중학교,고등학교,초등학교,교원",전국  사이버폭력 예방교육 (방문교육),신청한 학교 교실,서울특별시 중구 청계천로 14
7240,2016-12-27,2017-01-13,"교원,초등학교",전국  게임형 교구를 활용한 사이버폭력 예방교육,신청한 학교 교실,서울특별시 중구 청계천로 14
7241,2016-12-22,2017-02-17,"유치원,초등학교",경기  가족뮤지컬 슈퍼 빼꼼의 동화여행,분당소극장,서현동 198-5
7242,2016-12-10,2017-04-30,"중학교,초등학교",대구  건축과학  지오데식돔 (geodesic dome),국립대구과학관 LAB1 (1관 다목적실),대구광역시 달성군 유가면 테크노대로 6길 20
7243,2016-12-10,2017-04-30,"유치원,초등학교",대구  점토로 만든 아트회로,국립대구과학관 LAB2(1관 함께해결하기실),대구광역시 달성군 유가면 테크노대로 6길 20
7244,2016-12-01,2016-12-04,"고등학교,초등학교,교원,중학교",창조경제박람회,창조경제박람회,서울특별시 강남구 영동대로 513 코엑스
7245,2016-11-25,2016-12-24,초등학교,서울  미술관에서 크리스마스 소품 만들기,상원미술관 교육실,서울시 종로구 평창 31길 27
7246,2016-11-21,2016-11-30,"고등학교,초등학교,교원,중학교",강북청소년수련관  통기타,강북청소년수련관,서울특별시 강북구 4.19로 74 수유동 535-380
7247,2016-11-21,2016-11-30,"고등학교,초등학교,교원,중학교,유치원",강북청소년수련관  피아노,강북청소년수련관,서울특별시 강북구 4.19로 74 수유동 535-380
7248,2016-11-20,2016-11-30,"교원,중학교,고등학교,초등학교",강북청소년수련관  드럼,강북청소년수련관,서울특별시 강북구 4.19로 74 수유동 535-380
7249,2016-11-07,2016-11-28,"중학교,고등학교,교원",서울  우리가 살아가야 할 다양성의 시대,어린이회관 과학관 3층 시청각실,서울시 광진구 광나루로 441
7250,2016-11-06,2016-11-27,"중학교,유치원,고등학교,초등학교,교원",충북  2016 젓가락 페스티벌,청주첨단문화산업단지,충북 청주시 청원구 상당로 314
7251,2016-10-29,2016-10-29,"중학교,유치원,고등학교,초등학교",청소년 동아리축제 별이 뜨다,시립화곡청소년수련관 3층 대강당,서울특별시 강서구 곰달래로57가길 26 시립화곡청소년수련관
7252,2016-10-24,2017-03-06,"고등학교,초등학교,교원,중학교",서울  신생아 살리기 모자 뜨기 캠페인 체험,개별적 장소,서울특별시 마포구 토정로 174
7253,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",경북  소방안전 진로캠프,세계청소년학교 지정 장소(협의 가능),경북 군위군 부계면 대율리 644-1(구 대율초등학교)
7254,2016-10-23,2020-02-29,"중학교,유치원,고등학교",경북  정보방송 진로캠프,세계청소년학교 지정 장소(협의 가능),경북 군위군 부계면 대율리 644-1(구 대율초등학교)
7255,2016-10-23,2020-02-29,"중학교,유치원,초등학교",경북  공예예술 진로캠프,세계청소년학교 지정 장소(협의 가능),"경북 군위군 부계면 대율리 644-1(구 대율초등학교), 경남 창녕군 길곡면 내외동길 11(구 오호초등학교), 대구시 달성군 논공읍 위천리 387"
7256,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",경북  음악예술 진로캠프,세계청소년학교 지정 장소(협의 가능),"경북 군위군 부계면 대율리 644-1(구 대율초등학교), 경남 창녕군 길곡면 내외동길 11(구 오호초등학교), 대구시 달성군 논공읍 위천리 387"
7257,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",대구  외식산업 진로캠프,세계청소년학교 지정 장소(협의 가능),"대구시 달성군 논공읍 위천리 387, 경북 군위군 부계면 대율리 644-1(구 대율초등학교)"
7258,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",대구  뷰티예술 진로캠프,세계청소년학교 지정 장소(협의 가능),"대구시 달성군 논공읍 위천리 387, 경북 군위군 부계면 대율리 644-1(구 대율초등학교), 경남 창녕군 길곡면 내외동길 11(구 오호초등학교)"
7259,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",대구  법학법률 진로캠프,세계청소년학교 지정 장소(협의 가능),"대구시 달성군 논공읍 위천리 387, 경북 군위군 부계면 대율리 644-1(구 대율초등학교), 경남 창녕군 길곡면 내외동길 11(구 오호초등학교)"
7260,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",대구  교육지도 진로캠프,세계청소년학교 지정 장소(협의 가능),"대구시 달성군 논공읍 위천리 387, 경북 군위군 부계면 대율리 644-1(구 대율초등학교), 경남 창녕군 길곡면 내외동길 11(구 오호초등학교)"
7261,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",경북  안보치안 진로캠프,세계청소년학교 지정 장소(협의 가능),"경북 군위군 부계면 대율리 644-1(구 대율초등학교), 경남 창녕군 길곡면 내외동길 11(구 오호초등학교), 대구시 달성군 논공읍 위천리 387"
7262,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",경남  의료보건 진로캠프,세계청소년학교 지정 장소(협의 가능),"경남 창녕군 길곡면 내외동길 11(구 오호초등학교), 대구시 달성군 논공읍 위천리 387"
7263,2016-10-23,2020-02-29,"중학교,유치원,고등학교,초등학교",경북  경제금융 진로캠프,세계청소년학교 지정 장소(협의 가능),경북 군위군 부계면 대율리 644-1 (구 대율초등학교)
7264,2016-10-23,2020-02-29,"고등학교,초등학교,중학교,유치원",경남  폼아트 창의체험 프로그램,세계청소년학교 및 지정 장소,경북 군위군 부계면 대율리 644-1
7265,2016-10-08,2018-11-30,"유치원,초등학교",대구 국립대구과학관  우루루 쾅쾅 나만의 LED 천둥소리,국립대구과학관,대구광역시 달성군 유가면 테크노대로 6길 20
7266,2016-10-07,2016-10-28,"중학교,고등학교,교원",서울  이화여대 심리학과 교수님께 듣는 집단 속에서의 인간행동,육영재단 어린이회관 과학관3층 시청각실,서울시 광진구 광나루로441
7267,2016-10-07,2016-10-11,"중학교,유치원,고등학교,초등학교,교원",부산  동래읍성역사축제,동래문화원,부산시 동래구 문화로 80
7268,2016-10-05,2016-11-02,"초등학교,중학교",꿈 굽는 DAY 파티쉐 체험 3회차,화곡청소년수련관,서울특별시 강서구 곰달래로57가길 26 시립화곡청소년수련관
7269,2016-10-04,2016-10-25,고등학교,"서울  잡지 디렉터 진로체험   서울X프랑스X나, 작잡作雜해",미지센터와 서울 일대,중구 퇴계로26가길 6 서울유스호스텔 2층 미지센터
7270,2016-10-01,2016-12-31,고등학교,서대문청소년수련관  사랑의 몰래산타 대작전,서대문청소년수련관,서울시 서대문구 서희로 32길 129 (연희동)
7271,2016-10-01,2016-10-31,"중학교,고등학교",인천서구청소년수련관 청소년 창작 춤 경연대회,인천서구청소년수련관,인천광역시 서구 원창로 92
7272,2016-09-28,2016-11-30,"중학교,유치원,고등학교,초등학교,교원",서울  야간투어 감옥에서 밤을 노래하다,서대문구도시관리공단,서울특별시 서대문구 통일로 251
7273,2016-09-27,2016-10-31,"중학교,초등학교","서울  미술관 속 감성여행, 한지로 만나는 전통공예 이야기",상원미술관,서울 종로구 평창동 456-5 상원미술관
7274,2016-09-22,2016-10-17,중학교,서울  중학생 진로교육   꿈찾기 오픈강좌 건축설계편,문정동 래미안갤러리,서울특별시 송파구 문정동 408-1
7275,2016-09-20,2020-12-31,초등학교,서울  초등학생 체험학습 프로그램 오늘은 내가 독도체험관 관장,독도체험관,서울시 서대문구 통일로81 (미근동 267)
7276,2016-09-19,2016-11-14,"유치원,초등학교",국립중앙박물관  지도로 읽는 우리 역사고조선 생활사전,"국립중앙박물관 상설전시관 2층 공간 온, 어린이박물관 생각쑥쑥교실",서울특별시 용산구 서빙고로 137
7277,2016-09-16,2016-09-16,"중학교,유치원,고등학교,초등학교,교원",인천도호부청사  민속문화 한마당,인천도호부청사,인천광역시 남구 매소홀로 589
7278,2016-09-15,2016-12-15,"유치원,초등학교",인천광역시립박물관  수상한 박물관 체험프로그램,인천시립박물관 3층 해넘이방,인천 연수구 청량로160번길 26
7279,2016-09-15,2016-09-16,"교원,중학교,유치원,고등학교,초등학교",광주민속박물관  2016 한가위 민속문화 한마당,한국민속박물관,광주광역시 북구 서하로 48-25
7280,2016-09-14,2016-09-18,"중학교,유치원,고등학교,초등학교,교원",제주민속촌  추석 민속행사,제주민속촌,제주 서귀포시 민속해안로 631-74(표선해수욕장 옆)
7281,2016-09-10,2016-12-10,유치원,"서울  눈부신 황금의 나라, 신라_어린이박물관 주말프로그램","어린이박물관 어린이교실, 전시실",서울 용산구 용산동6가 168-6(서빙고로 137) 국립중앙박물관 어린이박물관
7282,2016-09-08,2016-09-29,"중학교,고등학교,교원",서울  미래세대 포럼 긍정심리학을 토대로 한 행복한 미래설계하기,서울시 광진구 광나루로441 어린이회관 과학관3층 시청각실,광나루로 441
7283,2016-09-08,2016-09-20,초등학교,전북  사진작가 장근범과 함께 오픈클래스,공동체박물관 계남정미소,전북 진안군 마령면 계서리 191-1
7284,2016-09-08,2016-09-16,"중학교,유치원,고등학교,초등학교",수원전통문화관  북새통 9 추석,수원전통문화관,경기도 수원시 팔달구 행궁동
7285,2016-09-08,2016-09-13,초등학교,2016 가족과 함께하는 토요역사기행,광진구청,서울특별시 광진구 자양로 117 광진구청 제3별관 4층 교육지원과
7286,2016-09-05,2016-12-05,"유치원,초등학교","국립중앙박물관 눈부신 황금의 나라, 신라",기타,서울특별시 용산구 서빙고로 137
7287,2016-09-02,2016-09-18,"중학교,유치원,고등학교,초등학교",한국민속촌  한가위 좋을씨고,한국민속촌,경기도 용인시 기흥구 민속촌로 90
7288,2016-09-02,2016-09-18,"중학교,유치원,고등학교,초등학교","국립민속박물관  추석, 달 밝고 철 좋은 명절이로다(전체)",국립민속박물관 전역,서울시 종로구 삼청로 37
7289,2016-09-02,2016-09-16,"중학교,유치원,고등학교,초등학교",남산골한옥마을  2016  오五대감 한가위 잔치 ,남산골한옥마을,서울시 중구 퇴계로34길 28
7290,2016-09-01,2016-11-30,"중학교,유치원,고등학교,초등학교,교원",전남  어촌과 농촌 모습알기,오산어촌체험마을,전남 해남 북평면 오산길 88
7291,2016-09-01,2016-10-31,"중학교,유치원,고등학교,초등학교",남산골한옥마을  한글쓰기,남산골 한옥마을,서울시 중구 퇴계로34길 28 
7292,2016-09-01,2016-10-31,"중학교,유치원,고등학교,초등학교",남산골한옥마을  한지접기,남산골 한옥마을,서울시 중구 퇴계로34길 28
7293,2016-09-01,2016-10-31,"중학교,유치원,고등학교,초등학교","남산골한옥마을  한복체험한복입기,한복스냅",남산골한옥마을 이승업가옥 및 한옥마을 일대,서울시 중구 퇴계로34길 28
7294,2016-09-01,2016-10-03,"중학교,유치원,고등학교,초등학교",남산골한옥마을  태권도 시범공연 및 체험행사,남산골 한옥마을 천우각 무대,서울시 중구 퇴계로34길 28
7295,2016-09-01,2016-09-30,"중학교,고등학교",인천서구청소년수련관 청소년 국제교류,인천서구청소년수련관,인천광역시 서구 원창로 92
7296,2016-09-01,,"초등학교,교원",실학박물관  2016년 1박2일 실학캠프 심쿵 실학 별 스테이 (9월),실학박물관,경기도 남양주시 조안면 능내리 27-1
7297,2016-08-31,2016-08-31,"교원,중학교,유치원,고등학교,초등학교",서대문문화회관 영상으로 만나는 오페라 마술피리,서대문형무소역사관,서울특별시 서대문구 통일로 251
7298,2016-08-29,2016-11-28,"유치원,초등학교","국립중앙박물관 삼국이여, 한강을 사수하라",국립중앙박물관 어린이박물관 생각쑥쑥교실,서울특별시 용산구 서빙고로 137
7299,2016-08-29,2016-11-24,"중학교,고등학교,초등학교",한성백제박물관  주말문화유산탐방  한성백제워킹투어,한성백제박물관,서울특별시 중구 세종대로 110 
7300,2016-08-29,2016-10-31,초등학교,서울  영원을 꿈꾸는 종묘,국립고궁박물관,서울특별시 종로구 훈정동 1
7301,2016-08-29,2016-09-23,초등학교,역사 헐(H.E.R) (History Enjoy Runningman),강서청소년회관,서울 강서구 내발산2동 산 4-5
7302,2016-08-27,2016-11-26,"유치원,초등학교",국립중앙박물관  그림문자 수수께끼,국립중앙박물관,04383 서울특별시 용산구 서빙고로 137
7303,2016-08-22,2016-10-01,"중학교,유치원,고등학교,초등학교",남한산성세계유산센터  역사인물 스토리텔링 투어  조선시그날,남한산성 성곽,경기도 광주시 남한산성면 남한산성로 731
7304,2016-08-22,2016-09-05,"유치원,초등학교","국립민속박물관  2016 추석 한마당 추석, 달 밝고 철 좋은 명절이로다","어린이박물관 볕들재, 앞마당, 놀이마당 등 박물관 전역",서울특별시 종로구 삼청로 37 03045
7305,2016-08-22,2016-08-25,"중학교,유치원,초등학교",국립국악원  가족국악강좌,"국립국악원 국악연수관, 예악당(오리엔테이션, 발표회)",서울특별시 서초구 남부순환로 2364
7306,2016-08-18,2016-09-01,유치원,국립중앙박물관 변하고 변해서 무엇이 될까,"국립중앙박물관 어린이박물관 전시실, 구름마루",서울특별시 용산구 서빙고로 137
7307,2016-08-18,2016-09-01,"유치원,초등학교",국립중앙박물관 박물관이 궁금해요,국립중앙박물관 어린이박물관 구름마루,서울특별시 용산구 서빙고로 137
7308,2016-08-18,2016-08-31,"중학교,고등학교,초등학교",한마음회관  토요 뎃생 수채화,한마음회관,울산광역시 동구 바드래1길 30
7309,2016-08-18,2016-08-25,"유치원,초등학교",국립중앙박물관 임금님이 사랑한 그림,어린이박물관 생각쑥쑥교실,서울특별시 용산구 서빙고로 137
7310,2016-08-18,2016-08-25,"유치원,초등학교",국립중앙박물관 해 그림자 속 암호를 풀어라,어린이박물관 생각쑥쑥교실 및 상설전시실,서울특별시 용산구 서빙고로 137
7311,2016-08-18,2016-08-25,"유치원,초등학교",국립중앙박물관 청동기시대 떡 만들기,국립중앙박물관 생각쑥쑥교실 및 상설전시실,서울특별시 용산구 서빙고로 137
7312,2016-08-18,2016-08-25,"유치원,초등학교","국립중앙박물관  기와 속, 숨은 우리문화 찾기",국립중앙박물관 상설전시실 및 생각쑥쑥교실,서울특별시 용산구 서빙고로 137
7313,2016-08-18,,"유치원,초등학교","국립중앙박물관 활자의 나라, 조선",국립중앙박물관 어린이박물관 공간온on 및 고려3실,서울특별시 용산구 서빙고로 137
7314,2016-08-17,0000-00-00,"중학교,고등학교,초등학교",서울  박물관 전문직 체험교실,"상설전시관, 교육관 실기실 및 강의실 등",서울시 용산구 서빙고로 137
7315,2016-08-17,2016-08-26,"중학교,고등학교,초등학교",전북  지평선 청소년 영화제 응모 및 상영 / 청소년농업생명체험센터,국립김제청소년농업생명체험센터,전라북도 김제시 부량면 벽골제로 421
7316,2016-08-16,2016-10-14,교원,2016 인터넷윤리 교수 학습지도안 공모대회,한국정보화진흥원,대구광역시 동구 첨단로 53
7317,2016-08-13,2016-08-14,"중학교,유치원,고등학교,초등학교,교원",한강몽땅 한강파이어댄싱페스티벌,반포 세빛섬 예빛무대 일대,서울특별시 서초구 올림픽대로 683
7318,2016-08-12,2016-08-22,"유치원,초등학교",국립민속박물관  열두 달 세시풍속  가을의 시작,어린이박물관 볕들재,서울특별시 종로구 삼청로 37 03045
7319,2016-08-10,2016-09-07,"중학교,초등학교",꿈 굽는 DAY 파티쉐 체험 2회차,화곡청소년수련관,서울특별시 강서구 곰달래로57가길 26 시립화곡청소년수련관
7320,2016-08-10,2016-08-14,초등학교,기적의도서관  꿈꾸는 도서관 기적의 하룻밤 보내기 체험,울산 북구 기적의 도서관,울산광역시 북구 이화5길 29-13
7321,2016-08-09,2016-11-24,"유치원,초등학교",국립민속박물관  우리신화로 꿈꾸는 도깨비,국립민속박물관 야외놀이마당,서울특별시 종로구 삼청로 37 03045
7322,2016-08-09,2016-10-12,"중학교,고등학교,초등학교",서울  국위를 선양하는 외교관 되어보기,외교부 외교사료관,서울시 서초구 남부순환로 2572번지
7323,2016-08-09,2016-08-27,초등학교,개포도서관 어린이 철학교실,개포도서관 1층 시청각실,서울특별시 강남구 선릉로4길 30
7324,2016-08-09,2016-08-13,"중학교,초등학교",광주  골목사운드 프로젝트,북구문화의집 무한상상실,광주광역시 북구 대천로 86
7325,2016-08-08,2016-12-28,초등학교,서울  니하오 중국  복을 부르는 홍등 만들기,국립민속박물관 어린이박물관 제 2전시관 로비,서울특별시 종로구 삼청로 37
7326,2016-08-08,2016-08-26,"중학교,고등학교,교원",길위의인문학 패션쇼 연출가로부터 듣는 패션의 세계,도곡정보문화도서관 지하1층 강당,서울특별시 강남구 도곡로18길 57 도곡정보문화도서관
7327,2016-08-08,2016-08-19,"중학교,초등학교",김포에코센터  태양광 우주인 로봇 만들기,김포에코센터,경기도 김포시 김포한강11로 455
7328,2016-08-08,2016-08-12,교원,전쟁기념관  2016년 전쟁기념관 하계 교원 직무연수,전쟁기념관 문화아카데미 등,서울특별시 용산구 이태원로 29(용산동 1가 8번지)
7329,2016-08-06,2016-08-20,초등학교,"전쟁기념관  연평해전의 영웅, 참수리호와 함께 떠나는 북한이야기(초등개인 및 가족)",전쟁기념관,기타
7330,2016-08-05,2016-08-20,초등학교,역삼푸른솔도서관 일기로 동시 쓰기,역삼푸른솔도서관 어린이실,서울 강남구 테헤란로8길 36
7331,2016-08-04,2016-12-31,"중학교,고등학교",국민대학교평생교육원  레저스포츠 대표아이콘 골프체험,국민대학교 평생교육원,서울 종로구 동숭길 122-6 (동숭동) 국민대 제로원센터 501호
7332,2016-08-04,2016-08-31,초등학교,국립민속박물관  우리들의 박물관 학교(저학년),"어린이박물관 볕들재, 상설 및 야외전시실",서울특별시 종로구 삼청로 37
7333,2016-08-04,2016-08-12,"중학교,초등학교",국민권익위원회 청렴연수원  학생 대상 찾아가는 청렴교육,기타,충청북도 청주시 서원구 구룡산로 357
7334,2016-08-03,2016-09-09,고등학교,국민대학교평생교육원 게임산업 분야 진로 진학특강 및 게임제작시연,서울 성북구 정릉로 77 (정릉동) 국민대학교,서울 성북구 정릉로 77 (정릉동) 국민대학교
7335,2016-08-03,2016-08-26,"중학교,고등학교","재단법인육영재단 조용진교수가 들려주는 얼굴로 보는 한국인, 우리와 나",재단법인 육영재단,서울 광진구 광나루로 441 (능동) 어린이회관 과학관 3층 시청각실
7336,2016-08-02,2016-09-02,"중학교,고등학교",서울시립광진청소년수련관 내일을 그리는 네일,서울시립광진청소년수련관,서울시 광진구 광장동 313-3
7337,2016-08-02,2016-08-11,"중학교,고등학교",국립생물자원관 청소년 생물자원학교,국립생물자원관,인천광역시 서구 환경로 42
7338,2016-08-01,2016-12-31,"중학교,유치원,초등학교",제주  승무원과 함께하는 항공안전체험교실,제주항공,서울 강서구 공항동 150 국제화물청사 366호 제주항공 객실본부 객실기획팀
7339,2016-08-01,2016-11-20,중학교,강서진로직업체험지원센터  조각조각진경 힐링아트캠프,"겸재정선미술관, 궁산, 인왕산 근처, 작가 작업실",서울특별시 강서구 양천로47길 36
7340,2016-08-01,2016-09-30,초등학교,동안청소년수련관  꿈이루미,동안청소년수련관,경기도 안양시 동안구 동안로 155
7341,2016-08-01,2016-09-02,초등학교,국립민속박물관  찾아가는 어린이박물관,방문,서울특별시 종로구 삼청로 37
7342,2016-08-01,2016-08-31,초등학교,권선청소년수련관  청소년 진로활동 프로그램 너와 나 함께하는 진로여행,권선청소년수련관,수원시 권선구 덕영대로 1201번길 42
7343,2016-08-01,2016-08-31,초등학교,동안청소년수련관  역사체험여행,동안청소년수련관,경기도 안양시 동안구 동안로 155
7344,2016-08-01,2016-08-27,"중학교,유치원,고등학교,초등학교,교원",국궁전시관 활 만들기 체험프로그램,국궁전시관 체험교실,서울특별시 종로구 사직로9길 15-32
7345,2016-08-01,2016-08-15,"중학교,유치원,고등학교,초등학교,교원",한강몽땅  서울스토리패션쇼,반포 세빛섬 예빛무대 일대,서울시 서초구 반포동
7346,2016-08-01,2016-08-15,"초등학교,중학교","HG항공우주국 진로, 이륙하다항공편",화곡청소년수련관,서울특별시 강서구 곰달래로57가길 26 시립화곡청소년수련관
7347,2016-08-01,2016-08-12,"교원,중학교,유치원,고등학교,초등학교",아이들극장 여름방학 탐구생활 영화관람 및 진로탐험,아이들극장,서울특별시 종로구 성균관로 91 올림픽기념국민생활관 신관
7348,2016-08-01,2016-08-10,"중학교,고등학교",인튜이티브서지컬코리아 청소년 다빈치 교실,인튜이티브 서지컬 코리아,서울 강남구 테헤란로98길 8 (대치동) KT과G 대치타워 7층 인튜이티브 서지컬
7349,2016-08-01,2016-08-08,"중학교,고등학교,초등학교,교원",서울  2016년 예술의전당 교육기부 프로그램,한국과학창의재단,서울 서초구 남부순환로 2406 (서초동) 예술의전당 콘서트홀
7350,2016-08-01,2016-08-08,"고등학교,초등학교,교원,중학교",성북청소년수련관  말랑 말랑 젤리 플라워 만들기,성북청소년수련관,서울특별시 성북구 한천로95길 7 성북청소년수련관
7351,2016-07-30,2016-08-28,유치원,오 마이 라바 (홀로그램 뮤지컬 라바 시즌2),(주) 티움교육,서울특별시 광진구 자양동 227-344
