구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1546,2019-08-15,2019-12-15,"중학교,유치원,고등학교,초등학교,교원","경기 수원광교박물관  2019특별전  수상한 친절, 의도된 침략 ",사운실,경기도 수원시 영통구 광교로 182
1547,2019-08-15,2019-12-15,"중학교,유치원,고등학교,초등학교","경기  수원시청  2019 수원광교박물관 특별전  수상한 친절, 의도된 침략 ",수원시청,경기도 수원시 팔달구 효원로 241
1548,2019-08-15,2019-11-24,"중학교,유치원,고등학교,초등학교,교원",충남  청산수목원  팜파스축제,태안 청산수목원,충청남도 태안군 남면 신장리 18번지
1549,2019-08-15,2019-08-31,"교원,중학교,고등학교",인천  인천대학교 무한상상실  아두이노 중급교실,인천대학교 성지관,인천광역시 남구 석정로 165(도화동) 인천대학교 제물포캠퍼스
1550,2019-08-15,2019-08-30,"교원,중학교,유치원,고등학교,초등학교",대구  서구청소년수련관  청소년문화축제 청량미인,서구문화회관,대구 서구 문화로 122
1551,2019-08-15,2019-08-24,"교원,중학교,유치원,고등학교,초등학교",서울 문화비축기지  서울프린지페스티벌2019,문화비축기지,서울특별시 마포구 증산로 87
1552,2019-08-15,2019-08-21,"초등학교,유치원","서울 서울생활사박물관  서울생활사박물관 임시개관 교육프로그램 신청(생활사 카드놀이, 변장 나들이, 조각조각 서울이야기 엮기)",서울생활사박물관 별관동 2층 교육실,서울특별시 노원구 동일로174길 27
1553,2019-08-15,2019-08-15,"중학교,유치원,고등학교,초등학교,교원","충남  서산시청  광복 74주년 기념, 제25회 서산시민 한마음 걷기 대회",서산시청,충남 서산시 관아문길 1
1554,2019-08-14,2019-10-13,"중학교,고등학교,초등학교",경기  한국만화박물관  한반도의 평화  평화를 잇다,한국만화박물관,경기도 부천시 길주로 1
1555,2019-08-14,2019-10-13,"고등학교,중학교",경기  한국만화박물관  송곳삶을 잇다,한국만화박물관,경기도 부천시 길주로 1
1556,2019-08-14,2019-09-22,초등학교,경기  이천시립마장도서관  반짝반짝 별피자 만들기,이천시립마장도서관,경기도 이천시 마장면 마장로11
1557,2019-08-14,2019-09-21,"고등학교,초등학교,교원,중학교,유치원",대구  대구오페라하우스  아이조아 콘서트,대구콘서트하우스,대구 중구 태평로 141
1558,2019-08-14,2019-09-11,"중학교,유치원,고등학교,초등학교,교원",충북  청주미술창작스튜디오  특별기획전 온프로젝트,청주미술창작스튜디오,충북 청주시 상당구 용암로 55
1559,2019-08-14,2019-08-30,초등학교,서울 보라매공원  한여름 밤의 곤충 이야기(여름 특별프로그램),"커뮤니티센터, 공원 일대",서울특별시 동작구 여의대방로90
1560,2019-08-14,2019-08-29,초등학교,서울 몽촌역사관  2019 하반기 꿈마을놀이체험교실  말과 주사위로 배우는 전통놀이와 문화 ,"몽촌역사관 체험학습실/3교육실(쌍륙, 고누), 야외마당(활쏘기)",서울특별시 송파구 올림픽로 424
1561,2019-08-14,2019-08-29,초등학교,서울 몽촌역사관  2019 하반기 꿈마을고고학연구소  백제유물을 찾아 복원하라 ,"몽촌역사관 영상실, 발굴체험장, 체험학습실",서울특별시 송파구 올림픽로 424
1562,2019-08-14,2019-08-28,유치원,서울  중랑구립면목정보도서관  페이퍼아트쇼,중랑구립면목정보도서관,서울특별시 중랑구 면목로 397
1563,2019-08-14,2019-08-28,"고등학교,초등학교,중학교",서울  관악도서관  그림책으로 아이와 소통하기,관악도서관,서울시 관악구 신림로 3길 35
1564,2019-08-14,2019-08-28,"중학교,고등학교,초등학교",서울  강남도서관  지리학자의 인문여행,강남도서관,서울 강남구 선릉로 116길 45
1565,2019-08-14,2019-08-28,초등학교,인천  인천도시역사관  초등학급단체교육프로그램,인천도시역사관,인천광역시 연수구 인천타워대로 238(송도동 24-7)
1566,2019-08-14,2019-08-23,초등학교,충남  홍성도서관  애니메이션으로 배우는 영어,홍성도서관,충남 홍성군 홍성읍 충절로 1050
1567,2019-08-14,2019-08-23,"중학교,유치원,교원,고등학교,초등학교",충남  태안문화원  가족문화체험,태안문화원,충남 태안군 태안읍 백화로 192
1568,2019-08-14,2019-08-23,"중학교,고등학교,초등학교",서울  마장도서관  모욕사회  마음은 어떻게 움직이는가,마장도서관,경기도 이천시 마장면 마장로11
1569,2019-08-14,2019-08-22,"중학교,고등학교",전북  군산시다문화가족지원센터  청소년진로지원사업 카누체험교실,군산시 은파 호수공원 카누훈련장,전라북도 군산시 축동1길 15-2
1570,2019-08-14,2019-08-21,중학교,광주  광주학생독립운동기념회관  청소년강좌 사고력 증진 및 창의력 함양,광주학생독립운동기념회관,광주광역시 서구 학생독립로 30(화정동)
1571,2019-08-14,2019-08-21,중학교,광주  광주학생독립운동기념회관  중학생논술교실,광주학생독립운동기념회관,광주광역시 서구 학생독립로 30
